concept,tag
算法,0
复杂度,1
枚举,1
模拟,1
递归,1
分治,1
贪心,1
排序,1
选择排序,2
冒泡排序,2
插入排序,2
计数排序,2
基数排序,2
快速排序,2
归并排序,2
堆排序,2
桶排序,2
希尔排序,2
锦标赛排序,2
tim排序,2
前缀和,1
差分,1
二分,1
倍增,1
构造,1
搜索,1
DFS（搜索）,2
BFS（搜索）,2
双向搜索,2
启发式搜索,2
A*,2
迭代加深搜索,2
IDA*,2
回溯法,2
Dancing Links,2
Alpha-Beta 剪枝,2
剪枝优化,2
动态规划,1
记忆化搜索,2
背包 DP,2
区间 DP,2
DAG 上的 DP,2
树形 DP,2
状压 DP,2
数位 DP,2
插头 DP,2
计数 DP,2
动态 DP,2
概率 DP,2
单调队列/单调栈优化,2
斜率优化,2
四边形不等式优化,2
状态设计优化,2
字符串,1
字符串匹配,2
字符串哈希,2
字典树 (Trie),2
KMP,2
Boyer–Moore 算法,2
Z 函数（扩展 KMP）,2
自动机,2
AC 自动机,2
后缀数组 (SA),2
后缀自动机 (SAM),2
后缀平衡树,2
广义后缀自动机,2
后缀树,2
Manacher,2
回文树,2
序列自动机,2
最小表示法,2
Lyndon 分解,2
Main–Lorentz 算法,2
数学,1
符号,2
进位制,2
位运算,2
二进制集合操作,2
平衡三进制,2
高精度计算,2
快速幂,2
置换和排列,2
弧度制与坐标系,2
复数,2
数论,2
数论基础,3
素数,3
最大公约数,3
数论分块,3
欧拉函数,3
筛法,3
Meissel–Lehmer 算法,3
分解质因数,3
裴蜀定理,3
类欧几里德算法,3
欧拉定理,3
费马小定理,3
乘法逆元,3
线性同余方程,3
中国剩余定理,3
升幂引理,3
威尔逊定理,3
卢卡斯定理,3
同余方程,3
二次剩余,3
原根,3
离散对数,3
剩余,3
莫比乌斯反演,3
杜教筛,3
Powerful Number 筛,3
Min_25 筛,3
洲阁筛,3
连分数,3
Stern–Brocot 树,3
Farey 序列,3
二次域,3
循环连分数,3
Pell 方程,3
多项式与生成函数,2
代数基本定理,3
快速傅里叶变换,3
快速数论变换,3
快速沃尔什变换,3
Chirp Z 变换,3
多项式牛顿迭代,3
多项式多点求值|快速插值,3
多项式初等函数,3
常系数齐次线性递推,3
多项式平移|连续点值平移,3
符号化方法,3
Lagrange 反演,3
普通生成函数,3
指数生成函数,3
狄利克雷生成函数,3
组合数学,2
排列组合,3
抽屉原理,3
容斥原理,3
康托展开,3
斐波那契数列,3
错位排列,3
卡特兰数,3
斯特林数,3
贝尔数,3
伯努利数,3
Entringer Number,3
Eulerian Number,3
分拆数,3
范德蒙德卷积,3
图论计数,3
线性代数,2
向量,3
内积和外积,3
矩阵,3
初等变换,3
行列式,3
线性空间,3
线性基,3
线性映射,3
特征多项式,3
对角化,3
Jordan标准型,3
线性规划,2
单纯形算法,3
抽象代数,2
群论,3
置换群,3
概率论,3
条件概率与独立性,3
随机变量,3
随机变量的数字特征,3
概率不等式,3
博弈论,2
公平组合游戏,3
非公平组合游戏,3
反常游戏,3
数值算法,2
插值,3
数值积分,3
高斯消元,3
牛顿迭代法,3
傅里叶-莫茨金消元法,2
序理论,2
杨氏矩阵,2
Schreier–Sims 算法,2
Berlekamp–Massey 算法,2
数据结构,0
栈,1
队列,1
链表,1
哈希表,1
并查集,1
堆,1
二叉堆,2
配对堆,2
左偏树,2
块状数据结构,1
块状数组,2
块状链表,2
树分块,2
Sqrt Tree,2
单调栈,1
单调队列,1
ST 表,1
树状数组,1
线段树,1
李超线段树,1
划分树,1
二叉搜索树,1
平衡树,2
二叉搜索树,2
Treap,2
Splay 树,2
WBLT,2
Size Balanced Tree,2
AVL 树,2
B 树,2
B+ 树,2
替罪羊树,2
Leafy Tree,2
笛卡尔树,2
红黑树,2
左偏红黑树,2
AA 树,2
2-3 树,2
2-3-4 树,2
跳表,1
可持久化数据结构,1
可持久化线段树,2
可持久化块状数组,2
可持久化平衡树,2
可持久化字典树,2
可持久化可并堆,2
树套树,1
线段树套线段树,2
平衡树套线段树,2
线段树套平衡树,2
树状数组套权值线段树,2
分块套树状数组,2
K-D Tree,1
动态树,1
Link Cut Tree,2
全局平衡二叉树,2
Euler Tour Tree,2
Top Tree,2
析合树,1
PQ 树,1
手指树,1
霍夫曼树,1
图论,1
图的存储,2
DFS（图论）,2
BFS（图论）,2
树上问题,2
树的直径,3
最近公共祖先,3
树的重心,3
树链剖分,3
树上启发式合并,3
虚树,3
树分治,3
动态树分治,3
AHU 算法,3
树哈希,3
树上随机游走,3
矩阵树定理,2
有向无环图,2
拓扑排序,2
最小生成树,2
斯坦纳树,2
最小树形图,2
最小直径生成树,2
最短路,2
拆点,2
差分约束,2
k 短路,2
同余最短路,2
强连通分量,2
双连通分量,2
割点和桥,2
圆方树,2
点/边连通度,2
环计数问题,2
2-SAT,2
欧拉图,2
哈密顿图,2
二分图,2
最小环,2
平面图,2
图的着色,2
网络流,2
最大流,3
最小割,3
费用流,3
上下界网络流,3
Stoer–Wagner 算法,2
图匹配,2
增广路,2
二分图最大匹配,2
二分图最大权匹配,2
一般图最大匹配,2
一般图最大权匹配,2
Prüfer 序列,2
LGV 引理,2
弦图,2
最大团搜索算法,2
支配树,2
图上随机游走,2
计算几何,1
二维计算几何基础,2
三维计算几何基础,2
距离,2
Pick 定理,2
三角剖分,2
凸包,2
扫描线,2
旋转卡壳,2
半平面交,2
平面最近点对,2
随机增量法,2
反演变换,2
杂项,1
离散化,2
双指针,2
离线算法,2
CDQ 分治,2
整体二分,2
莫队算法,2
普通莫队算法,3
带修改莫队,3
树上莫队,3
回滚莫队,3
二维莫队,3
莫队二次离线,3
莫队配合 bitset,3
分数规划,2
随机化,2
随机函数,3
随机化技巧,3
爬山算法,3
模拟退火,3
悬线法,2
计算理论基础,2
字节顺序,2
约瑟夫问题,2
格雷码,2
表达式求值,2
在一台机器上规划任务,2
主元素问题,2
Garsia–Wachs 算法,2
15-puzzle,2
Kahan 求和,2
珂朵莉树/颜色段均摊,2
二叉树,1
