EName,CName,number
array,数组,1963
string,字符串,821
hash-table,哈希表,714
dynamic-programming,动态规划,623
math,数学,602
sorting,排序,461
greedy,贪心,400
depth-first-search,深度优先搜索,358
binary-search,二分查找,316
database,数据库,288
tree,树,284
breadth-first-search,广度优先搜索,279
matrix,矩阵,271
bit-manipulation,位运算,262
two-pointers,双指针,245
binary-tree,二叉树,224
heap-priority-queue,堆（优先队列）,198
stack,栈,189
prefix-sum,前缀和,186
simulation,模拟,175
graph,图,173
counting,计数,163
design,设计,153
sliding-window,滑动窗口,151
backtracking,回溯,129
linked-list,链表,111
enumeration,枚举,99
union-find,并查集,95
monotonic-stack,单调栈,69
ordered-set,有序集合,69
number-theory,数论,65
trie,字典树,65
recursion,递归,64
divide-and-conquer,分治,61
segment-tree,线段树,57
queue,队列,55
binary-search-tree,二叉搜索树,55
bitmask,状态压缩,51
combinatorics,组合数学,46
memoization,记忆化搜索,46
geometry,几何,45
binary-indexed-tree,树状数组,42
hash-function,哈希函数,41
topological-sort,拓扑排序,38
string-matching,字符串匹配,36
shortest-path,最短路,34
rolling-hash,滚动哈希,31
game-theory,博弈,29
data-stream,数据流,26
interactive,交互,23
monotonic-queue,单调队列,19
brainteaser,脑筋急转弯,19
merge-sort,归并排序,15
doubly-linked-list,双向链表,15
randomized,随机化,14
quickselect,快速选择,11
iterator,迭代器,10
counting-sort,计数排序,10
probability-and-statistics,概率与统计,9
concurrency,多线程,9
bucket-sort,桶排序,8
suffix-array,后缀数组,7
minimum-spanning-tree,最小生成树,5
line-sweep,扫描线,4
shell,Shell,4
reservoir-sampling,水塘抽样,4
strongly-connected-component,强连通分量,3
eulerian-circuit,欧拉回路,3
radix-sort,基数排序,3
biconnected-component,双连通分量,2
rejection-sampling,拒绝采样,2
