题目,答案,类别
为解决计算机主机与打印机之间速度不匹配问题，通常设置一个打印数据缓冲区，主机将要输出的数据依次写入该缓冲区，而打印机则依次从该缓冲区中取出数据。该缓冲区的逻 辑结构应该是___。 A.栈 B.队列 C.树 D.图,B,栈和队列
"设栈S和队列Q的初始状态均为空，元素a,b,c,d,e,f,g依次进入栈S。若每个元素出 栈后立即进入队列Q,且7个元素出队的顺序是b,d,c,f,e,a,g,则栈S的容量至少是___. A.1 B. 2 C. 3 D. 4 .",C,栈和队列
已知一棵完全二叉树的第6层（设根为第1层）有8个叶结点，则该完全二叉树的结 点个数最多是___. A. 39 B. 52 C. 111 D. 119,C,树和二叉树
将森林转换为对应的二叉树，若在二叉树中，结点u是结点v的父结点的父结点，则 在原来的森林中，U和V可能具有的关系是__. I.父子关系 II.兄弟关系 III. U的父结点与V的父结点是兄弟关系 A.只有 II B. I 和 II C. I 和 III D. I、II 和 III,B,树和二叉树
下列关于无向连通图特性的叙述中，正确的是_______. I. 所有顶点的度之和为偶数 II. 边数大于顶点个数减1 III. 至少有一个顶点的度为I A.只有I B.只有 II C. I 和 II D. I 和 III,A,图
下列叙述中，不符合m阶B树定义要求的是___________。 A.根结点最多有丹棵子树 B.所有叶结点都在同一层上 C.各结点内关键字均升序或降序排列 D.叶结点之间通过指针链接,D,查找
"已知关键字序列5, 8, 12, 19,28,20, 15,22是小根堆（最小堆），插入关键字3,调整后 得到的小根堆是___. A. 3, 5, 12, 8, 28,20,15,22,19 B. 3,5, 12, 19,20, 15,22,8,28 C. 3, 8, 12, 5,20,15,22,28 19 D. 3,12,5, 8, 28,20,15, 22, 19",A,内部排序
"若数据元素序列11,12,13,7, 8, 9,23,4,5是采用下列排序方法之一得到的第二趟排序 后的结果，则该排序算法只能是_____。 A.冒泡排序 B.插入排序 C.选择排序 D.二路归并排序",B,内部排序
"若元素a,b,c,d,e,f依次进栈，允许进栈、退栈操作交替进行，但不允许连续三次进行退 栈操作，则不可能得到的出栈序列是______. A. dcebfa B. cbdaef C. bcaefd D. afedcb",D,栈和队列
"某队列允许在其两竭进行入队操作，但仅允许在一端进行出队操作.若元素a, b, c, d, e 依次入此队列后再进行出队操作，则否可能得到的出队序列是_____. A. bacde B. dbace C. dbcae D. ecbad",C,栈和队列
对n(n >= 2)个权值均不相同的字符构造成哈夫曼树.下列关于该哈夫曼树的叙述中，错误的是___. A. 该树一定是一棵完全二叉树 B. 树中一定没有度为1的结点 C. 树中两个权值最小的结点一定是兄弟结点 D. 树中任一非叶结点的权值一定不小于下一层任一结点的权值,A,树和二叉树
"已知一个长度为16的顺序表L,其元素按关键字有序排列.若采用折半査找法査找一个 L中不存在的元素，则关键字的比较次数最多的是____。 A. 4 B. 5 C. 6 D. 7",B,查找
釆用递归方式对顺序表进行快速排序。下列关于递归次数的叙述中，正确的是___. A. 递归次数与初始数据的排列次序无关 B. 每次划分后，先处理较长的分区可以减少递归次数 C. 每次划分后，先处理较短的分区可以减少递归次数 D. 递归次数与每次划分后得到的分区的处理顺序无关,D,内部排序
"对一组数据(2,12,16,88,5,10)进行排序，若前三趟排序结果如下： 第一趟排序结果：2, 12, 16,5, 10, 88 第二趟排序结果：2, 12,5, 10, 16, 88 第三趟排序结果：2, 5,10, 12, 16, 88 则采用的排序方法可能是___= A.冒泡排序 B.希尔排序 C.归并排序 • D.基数排序",A,内部排序
"元素a,b, c, d,e依次进入初始为空的栈中，若元素进栈后可停留、可出栈，直到所有元素 都出栈，则在所有可能的出栈序列中，以元素d开头的序列个数是_____. A. 3 B. 4 C. 5 D. 6",B,栈和队列
"若一棵完全二叉树有768个结点,则该二叉树中叶结点的个数是() A. 257 B. 258 C. 384 D. 385",C,树和二叉树
"若一棵二叉树的前序遍历序列和后序遍历序列分别为1,2,3,4和4, 3,2,1,则该二叉树的 中序遍历序列不会是______。 A. 1,2,3,4 B. 2,3,4,1 C. 3, 2,4,1 D. 4,3,2,1.",C,树和二叉树
"已知一棵有2011个结点的树，其叶结点个数为116,该树对应的二叉树中无右孩子的结 点个数_____” A. 115 B. 116 C. 1895 D. 1896",D,树和二叉树
"对于下列关键字序列，不可能构成某二叉排序树中一条査找路径的序列是________________. A. 95,22,91,24,94,71 B. 92,20,91,34,88, 35 C. 21,89,77,29,36, 38 D. 12,25,71,68,33,34",A,树和二叉树
下列关于图的叙述中，正确的是____. I. 回路是简单路径 II. 存储稀疏图，用邻接矩阵比邻接表更省空间 III. 若有向图中存在拓扑序列，则该图不存在回路 A.仅 II B.仅 I、II C.仅 III D.仅 1、HI,C,图
为提高散列（Hash）表的査找效率，可以采取的正确措施是_______o I. 增大装填（载）因子 II. 设计冲突（碰撞）少的散列函数 III.处理冲突（碰撞）时避免产生聚集（堆积）现象 A.仅 I B.仅 II C.仅 I、II D.仅 II、III,D,查找
为实现快速排序算法，待排序序列宜采用的存储方式是___. A.顺序存储 B.散列存储 C.链式存储 D.索引存储,A,内部排序
"已知序列25,13,10, 12,9是大根堆，在序列尾部插入新元素18,将其再调整为大根堆 调整过程中元素之间进行的比较次数是_。 A. 1 B. 2 C. 4 D. 5",B,树和二叉树
"若一棵二叉树的前序遍历序列为a. e, b, d. c,后序遍历序列为b,c,d,e,a,则根结点的 孩子结点______. A.只有c B.有e、b C.有e、c D.无法确定",A,树和二叉树
"若平衡二叉树的高度为6,且所有非叶结点的平衡因子均为1,则该平衡二叉树的结点 总数为_____. A. 10 B. 20 C. 32 D. 33",B,树和二叉树
若用邻接矩阵存储有向图，矩阵中主对角线以下的元素均为零，则关于该图拓扑序列 的结论是___. A.存在，且唯一 B.存在，且不唯一 C.存在，可能不唯一 D.无法确定是否存在,C,图
"已知两个长度分别为m和n的升序链表，若将它们合并为一个长度为m + n的降序链表，则最坏情况下的时间复杂度是______。 A. O(n) B. O(mn) C. O(min(m,n)) D. O(max(m, n))",D,线性表
"若将关键字1,2, 3, 4, 5, 6, 7依次插入到初始为空的平衡二叉树T中，则T中平衡因子 为0的分支结点的个数是____。 A, 0 B. 1 C. 2 D. 3",D,树和二叉树
"已知三叉树T中6个叶结点的权分别是2,3,4,5, 6,7, T的带权(外部)路径长度最小 是____。 A. 27 B. 46 C. 54 D. 56",B,树和二叉树
